Code_postal,TAU2017,ZE2010,RP,RS,MAISON,RP_PROP,RP_LOC,MED,PIMP,D1,D9,PIMPOT,TP60,PPAT,TP60TOL1,TP60TOL2,PBEN,NBPERSMENFISC
37260,8,2412,0.9190596244532465,0.03077050595796891,0.9409769310806302,0.7401879401252047,0.17270813703630455,21444.0,58.67999999999999,12605.5,35581.64,16.26,11.2,8.66,9.5,24.639999999999997,4.380000000000001,2897.3
45720,0,2416,0.8133729582862593,0.05901250330869194,0.9270464741356464,0.5754263758430536,0.22706013749482648,19918.7,54.0,12204.5,32011.1,14.5,11.0,10.4,9.4,29.4,4.4,2427.0
48000,2,9113,0.7075995474159472,0.20414265328679274,0.8751331282833755,0.5109736026561177,0.18034435124733594,20887.041666666668,49.94166666666666,10796.525000000001,32191.333333333332,14.208333333333334,15.025000000000004,10.975,10.5,24.650000000000006,8.166666666666666,1483.8333333333333
50360,0,2507,0.7937065067655654,0.123800688331357,0.9644613913749726,0.6072159829413926,0.18283396095765,19382.55,48.26666666666667,11162.333333333334,31738.13333333333,13.633333333333331,14.066666666666665,7.833333333333333,9.799999999999999,25.666666666666668,5.433333333333334,34692.583333333336
51170,8,2105,0.8729506300947169,0.04147969294628132,0.9730709539932301,0.7157274688394258,0.14117798170560883,22478.200000000004,55.089285714285715,10526.585714285718,37430.875,17.65000000000001,15.939285714285708,10.549999999999995,10.567857142857138,27.735714285714277,8.585714285714282,48194.69642857143
59238,0,3116,0.8607784431137725,0.0074850299401197605,0.9715568862275449,0.6287425149700598,0.2215568862275449,16311.4,45.4,10051.0,31423.9,14.2,19.5,8.4,8.4,39.1,6.5,1475.5
59300,8,3115,0.8894537662308513,0.01571421708209374,0.5439833875527283,0.39873602477311154,0.47929098528205943,19113.566666666666,48.333333333333336,9937.933333333332,37511.433333333334,16.7,19.333333333333332,8.9,7.766666666666667,34.0,5.766666666666666,15878.333333333334
63630,0,8311,0.34895569795141196,0.5635066373684534,0.9647761312266796,0.2990082614054699,0.04158361414404098,17308.05,48.5,11085.1,32305.05,14.200000000000001,14.35,11.05,11.05,27.200000000000003,5.65,222.375
67320,5,4203,0.8650897707999587,0.04165202604906363,0.8906446428468189,0.7160477027620392,0.12337896949097431,20241.737500000003,56.099999999999994,12234.0,34599.0,15.199999999999994,10.300000000000004,8.400000000000004,8.400000000000004,24.10000000000001,4.5,376.4375
71580,6,2609,0.7625018447467371,0.15391339787679337,0.9328511814328864,0.5954692086317797,0.15368637082997072,19624.5125,48.60000000000001,11115.600000000002,30635.5,13.400000000000002,14.099999999999998,8.700000000000001,8.700000000000001,26.199999999999996,5.6000000000000005,714.875
74120,5,8221,0.20590993154679685,0.7641168259464388,0.2445136770032766,0.1355639253477512,0.05801580135379061,22798.033333333336,64.60000000000001,12358.699999999999,41590.166666666664,20.8,9.799999999999999,21.96666666666667,16.4,15.4,9.566666666666666,1895.0
76133,8,2306,0.9420074714013777,0.023574911972614652,0.9640101838898005,0.8255823986108197,0.1081895727508527,23889.72,56.92,11757.8,34619.36,15.6,14.6,7.839999999999999,7.9,28.6,4.18,1246.8
77200,10,1102,0.9349294015623245,0.021391618691190745,0.21625284832054234,0.42702943185726505,0.49445158919189286,19128.2,57.0,9828.2,33141.4,15.6,20.0,4.7,7.0,30.0,2.1,23495.0
